日期,一手房成交面积,一手房成交量,二手房成交面积,二手房成交量,weekofyear
2023-03-05,13536.29,140.0,2144.11,23.0,9
2023-03-04,13688.55,139.0,2679.53,28.0,9
2023-03-03,13470.9,122.0,16019.71,174.0,9
2023-03-02,11200.53,113.0,12081.01,127.0,9
2023-03-01,7349.27,71.0,13842.01,145.0,9
2023-02-28,6426.67,55.0,14679.66,159.0,9
2023-02-27,3912.14,37.0,13730.5,143.0,9
2023-02-26,8281.16,86.0,1495.51,18.0,8
2023-02-25,11243.92,106.0,1286.71,17.0,8
2023-02-24,14796.7,137.0,13400.2,143.0,8
2023-02-23,10823.96,95.0,15142.11,166.0,8
2023-02-22,6643.42,67.0,11615.92,128.0,8
2023-02-21,7746.45,51.0,11783.57,136.0,8
2023-02-20,4033.76,41.0,13346.18,145.0,8
2023-02-19,8535.15,85.0,1651.21,19.0,7
2023-02-18,8071.48,74.0,2270.41,24.0,7
2023-02-17,11971.15,113.0,9439.28,102.0,7
2023-02-16,10953.15,87.0,11701.25,122.0,7
2023-02-15,5590.71,58.0,13440.04,135.0,7
2023-02-14,3412.21,30.0,13513.48,139.0,7
2023-02-13,3410.22,35.0,10743.46,116.0,7
2023-02-12,5932.67,60.0,2175.63,21.0,6
2023-02-11,9786.78,89.0,2140.2,23.0,6
2023-02-10,8691.15,82.0,9555.15,97.0,6
2023-02-09,5936.11,57.0,10719.77,119.0,6
2023-02-08,22988.32,166.0,10726.5,105.0,6
2023-02-07,3079.19,31.0,11367.29,110.0,6
2023-02-06,3076.52,32.0,8071.67,82.0,6
2023-02-05,5303.26,53.0,859.14,10.0,5
2023-02-04,8982.71,88.0,560.75,7.0,5
2023-02-03,9570.13,95.0,7961.15,83.0,5
2023-02-02,5764.65,61.0,7857.1,83.0,5
2023-02-01,6456.5,70.0,7380.08,87.0,5
2023-01-31,5328.41,56.0,8727.06,92.0,5
2023-01-30,4431.58,48.0,6210.29,64.0,5
2023-01-29,3297.34,34.0,5009.39,57.0,4
2023-01-28,0.0,0.0,2375.9,23.0,4
2023-01-20,8252.97,76.0,1942.51,19.0,3
2023-01-19,8669.98,84.0,3737.62,37.0,3
2023-01-18,9230.77,92.0,3879.11,37.0,3
2023-01-17,3720.09,39.0,4220.7,48.0,3
2023-01-16,4245.6,46.0,5571.33,57.0,3
2023-01-15,9550.01,91.0,723.36,8.0,2
2023-01-14,10988.84,114.0,804.84,10.0,2
2023-01-13,11527.1,120.0,8018.23,87.0,2
2023-01-12,10066.12,103.0,8014.88,92.0,2
2023-01-11,7673.82,79.0,8660.76,95.0,2
2023-01-10,5132.8,52.0,12332.23,129.0,2
2023-01-09,6588.75,70.0,10557.06,102.0,2
2023-01-08,11089.82,107.0,1027.78,13.0,1
2023-01-07,10817.08,112.0,1299.79,15.0,1
2023-01-06,9214.43,97.0,10251.58,107.0,1
2023-01-05,7410.72,74.0,9851.57,110.0,1
2023-01-04,2338.11,25.0,9682.53,101.0,1
2023-01-03,1811.28,19.0,8200.21,85.0,1
2023-01-02,2903.58,28.0,775.6,9.0,1
2023-01-01,6256.94,62.0,316.49,2.0,1
2022-12-31,12207.77,111.0,610.62,6.0,52
2022-12-30,6456.3,65.0,9074.04,81.0,52
2022-12-29,18999.82,390.0,6531.21,69.0,52
2022-12-28,9664.02,98.0,8335.19,83.0,52
2022-12-27,4528.41,43.0,8153.71,85.0,52
2022-12-26,3913.9,41.0,7902.34,79.0,52
2022-12-25,7472.41,74.0,769.96,7.0,51
2022-12-24,6218.5,63.0,691.25,8.0,51
2022-12-23,9252.54,94.0,5612.25,58.0,51
2022-12-22,9163.93,90.0,8252.27,80.0,51
2022-12-21,5831.24,63.0,9761.79,100.0,51
2022-12-20,3236.08,32.0,7267.06,80.0,51
2022-12-19,3396.0,34.0,9628.39,105.0,51
2022-12-18,7918.99,75.0,1211.16,14.0,50
2022-12-17,8988.86,92.0,1368.96,13.0,50
2022-12-16,10656.9,107.0,8602.14,98.0,50
2022-12-15,11183.35,113.0,10646.0,109.0,50
2022-12-14,8001.08,79.0,10705.72,103.0,50
2022-12-13,6644.47,65.0,10615.94,111.0,50
2022-12-12,8988.75,87.0,9213.91,98.0,50
2022-12-11,13054.23,127.0,409.75,5.0,49
2022-12-10,14808.21,143.0,545.25,7.0,49
2022-12-09,14981.44,144.0,8174.42,92.0,49
2022-12-08,11331.03,110.0,9458.87,107.0,49
2022-12-07,9150.24,89.0,11323.88,110.0,49
2022-12-06,6002.46,59.0,10040.9,98.0,49
2022-12-05,3081.64,30.0,8654.89,90.0,49
2022-12-04,7966.98,79.0,545.25,5.0,48
2022-12-03,6921.38,71.0,1241.16,14.0,48
2022-12-02,8038.97,85.0,8746.92,95.0,48
2022-12-01,9319.23,98.0,9677.83,91.0,48
2022-11-30,9053.85,104.0,9068.23,103.0,48
2022-11-29,4115.84,42.0,11346.8,131.0,48
2022-11-28,4406.28,46.0,10380.92,114.0,48
2022-11-27,7390.53,78.0,398.24,5.0,47
2022-11-26,7895.11,79.0,767.75,9.0,47
2022-11-25,11365.48,112.0,8117.02,87.0,47
2022-11-24,7433.96,72.0,7900.7,86.0,47
2022-11-23,8711.31,84.0,9227.52,100.0,47
2022-11-22,4687.38,49.0,9393.87,108.0,47
2022-11-21,4671.9,48.0,9779.31,99.0,47
2022-11-20,7925.6,81.0,311.1,3.0,46
2022-11-19,9812.71,96.0,1044.7,10.0,46
2022-11-18,12546.56,127.0,10107.68,102.0,46
2022-11-17,9765.02,97.0,10776.6,100.0,46
2022-11-16,8715.18,89.0,7737.13,78.0,46
2022-11-15,9081.83,87.0,10194.19,97.0,46
2022-11-14,7337.58,75.0,9776.08,110.0,46
2022-11-13,12105.28,122.0,119.77,1.0,45
2022-11-12,10566.61,107.0,1221.49,10.0,45
2022-11-11,10566.91,104.0,7958.67,75.0,45
2022-11-10,9720.21,101.0,9278.8,104.0,45
2022-11-09,9894.43,98.0,8536.46,91.0,45
2022-11-08,5369.3,53.0,9099.11,96.0,45
2022-11-07,5580.85,60.0,9398.93,101.0,45
2022-11-06,10867.93,95.0,386.11,7.0,44
2022-11-05,14879.77,133.0,611.52,9.0,44
2022-11-04,11171.8,114.0,10126.57,95.0,44
2022-11-03,12313.1,123.0,9366.53,87.0,44
2022-11-02,7345.0,73.0,7964.4,88.0,44
2022-11-01,3938.56,41.0,8366.52,95.0,44
2022-10-31,5041.72,52.0,8577.24,101.0,44
2022-10-30,11409.36,120.0,824.52,7.0,43
2022-10-29,11350.31,112.0,1407.08,17.0,43
2022-10-28,13259.69,131.0,8614.46,85.0,43
2022-10-27,11059.69,113.0,10354.73,107.0,43
2022-10-26,11770.4,118.0,9581.04,98.0,43
2022-10-25,6537.35,61.0,9453.63,102.0,43
2022-10-24,6914.74,69.0,8293.79,92.0,43
2022-10-23,11353.79,119.0,119.45,1.0,42
2022-10-22,10813.51,116.0,827.64,8.0,42
2022-10-21,12083.04,124.0,9954.41,90.0,42
2022-10-20,11693.68,118.0,7489.64,79.0,42
2022-10-19,12679.7,127.0,10576.04,108.0,42
2022-10-18,9105.27,97.0,10421.87,114.0,42
2022-10-17,10952.09,115.0,6460.57,74.0,42
2022-10-16,15070.29,157.0,981.13,8.0,41
2022-10-15,16315.65,172.0,991.67,10.0,41
2022-10-14,16611.2,174.0,8994.14,98.0,41
2022-10-13,19224.94,195.0,8070.48,88.0,41
2022-10-12,16922.26,175.0,8765.02,85.0,41
2022-10-11,15540.58,156.0,8942.96,92.0,41
2022-10-10,10466.51,114.0,9023.8,96.0,41
2022-10-09,7292.11,79.0,9530.55,99.0,40
2022-10-08,2644.64,28.0,7090.01,80.0,40
2022-10-07,1516.38,16.0,445.38,5.0,40
2022-10-06,2391.28,26.0,0.0,0.0,40
2022-10-05,1473.42,15.0,0.0,0.0,40
2022-10-04,3210.18,33.0,164.31,2.0,40
2022-10-03,11152.5,94.0,59.74,1.0,40
2022-10-02,15023.96,122.0,265.45,2.0,39
2022-10-01,21010.29,180.0,438.02,5.0,39
2022-09-30,28729.43,219.0,6141.38,70.0,39
2022-09-29,26518.15,203.0,8879.52,87.0,39
2022-09-28,19790.25,157.0,7516.05,80.0,39
2022-09-27,19775.49,172.0,7362.02,83.0,39
2022-09-26,14352.94,118.0,7335.63,76.0,39
2022-09-25,8580.71,75.0,177.14,2.0,38
2022-09-24,6340.53,67.0,687.6,9.0,38
2022-09-23,11840.05,128.0,8000.8,88.0,38
2022-09-22,10815.65,114.0,8415.15,91.0,38
2022-09-21,10072.73,105.0,8673.6,93.0,38
2022-09-20,5025.5,54.0,8020.37,80.0,38
2022-09-19,39207.26,422.0,8266.7,88.0,38
2022-09-18,11284.74,119.0,247.15,3.0,37
2022-09-17,13233.94,140.0,766.39,11.0,37
2022-09-16,15813.57,169.0,8208.11,95.0,37
2022-09-15,12197.88,125.0,8556.57,91.0,37
2022-09-14,7938.29,84.0,9491.24,93.0,37
2022-09-13,7628.95,77.0,9884.58,110.0,37
2022-09-12,6448.47,69.0,293.71,5.0,37
2022-09-11,11680.88,127.0,308.66,4.0,36
2022-09-10,12866.51,142.0,1035.56,10.0,36
2022-09-09,13266.59,140.0,7685.81,79.0,36
2022-09-08,9818.58,98.0,6131.5,61.0,36
2022-09-07,7946.12,85.0,5629.96,54.0,36
2022-09-06,5317.75,59.0,7397.34,72.0,36
2022-09-05,5982.42,63.0,7774.05,86.0,36
2022-09-04,7541.0,81.0,157.42,2.0,35
2022-09-03,10283.6,100.0,588.32,7.0,35
2022-09-02,10161.83,98.0,6226.74,66.0,35
2022-09-01,6482.57,67.0,5753.89,59.0,35
2022-08-31,7849.91,79.0,5675.38,54.0,35
2022-08-30,3665.54,37.0,5220.3,55.0,35
2022-08-29,4734.14,43.0,6952.6,71.0,35
2022-08-28,4923.93,50.0,273.26,3.0,34
2022-08-27,8167.93,80.0,1382.56,12.0,34
2022-08-26,8038.02,81.0,9397.09,89.0,34
2022-08-25,10641.91,103.0,7932.66,84.0,34
2022-08-24,5439.41,54.0,9119.58,97.0,34
2022-08-23,3849.46,40.0,9828.8,105.0,34
2022-08-22,3686.28,37.0,7874.12,84.0,34
2022-08-21,4652.39,44.0,0.0,0.0,33
2022-08-20,5310.64,58.0,0.0,0.0,33
2022-08-19,6721.47,64.0,8621.49,95.0,33
2022-08-18,9534.95,91.0,8715.18,84.0,33
2022-08-17,8422.4,84.0,8393.78,88.0,33
2022-08-16,3711.08,38.0,8115.44,83.0,33
2022-08-15,4502.3,44.0,8892.34,94.0,33
2022-08-14,6920.17,72.0,249.66,4.0,32
2022-08-13,11375.35,110.0,323.12,4.0,32
2022-08-12,7884.37,78.0,8540.14,79.0,32
2022-08-11,9176.32,97.0,8697.58,83.0,32
2022-08-10,6739.43,73.0,8174.7,88.0,32
2022-08-09,3771.67,39.0,7754.17,86.0,32
2022-08-08,4817.68,48.0,8180.13,84.0,32
2022-08-07,10143.73,106.0,335.59,4.0,31
2022-08-06,10465.36,109.0,277.98,4.0,31
2022-08-05,13182.94,137.0,8803.49,100.0,31
2022-08-04,12189.15,127.0,9792.81,106.0,31
2022-08-03,61409.66,490.0,10734.14,111.0,31
2022-08-02,7659.03,74.0,8051.01,84.0,31
2022-08-01,6208.89,64.0,10362.6,100.0,31
2022-07-31,9747.97,99.0,975.5,9.0,30
2022-07-30,11781.02,117.0,572.22,6.0,30
2022-07-29,8407.05,77.0,10748.25,115.0,30
2022-07-28,10532.2,109.0,8084.89,83.0,30
2022-07-27,9743.74,87.0,7494.56,69.0,30
2022-07-26,3479.55,33.0,5742.61,61.0,30
2022-07-25,5350.97,54.0,8413.4,86.0,30
2022-07-24,9429.52,97.0,779.86,6.0,29
