area,date,volume
46531.70,2023-02-20,404
60291.93,2023-02-21,535
66317.07,2023-03-07,585
46248.65,2023-02-16,395
65548.85,2023-02-24,570
54163.48,2023-02-17,480
89074.54,2023-02-25,752
61093.67,2023-02-26,531
59440.55,2023-02-22,524
57527.03,2023-02-23,497
84090.67,2023-02-28,703
60469.75,2023-03-02,519
38665.66,2023-03-05,330
66517.67,2023-03-04,586
63475.86,2023-02-18,542
47582.61,2023-03-03,424
32103.06,2023-01-30,290
50622.70,2023-03-03,452
37241.5,2023-01-31,333
34007.32,2023-03-07,295
21190.21,2023-01-29,186
35251.58,2023-02-04,303
12138.66,2023-01-28,104
25279.99,2023-02-06,221
38006.43,2023-02-02,359
34136.92,2023-02-03,297
40161.78,2023-02-01,372
32060.77,2023-02-07,280
63681.31,2023-02-10,608
46459.46,2023-02-09,431
44598.13,2023-02-19,390
52100.26,2023-01-07,431
37681.44,2023-02-08,335
54105.44,2023-02-27,473
99378.57,2023-01-10,855
31054.48,2023-01-08,260
19197.42,2023-01-13,164
9763.57,2023-01-15,80
98494.8,2023-01-11,853
16347.89,2023-01-14,131
12105.63,2023-01-16,98
43471.44,2023-01-09,406
21563.32,2023-01-19,180
3392.97,2023-01-21,25
232.44,2023-01-22,2
1976.05,2023-01-27,17
34506.85,2023-01-12,289
20448.72,2023-01-17,171
423.15,2023-01-23,3
76907.87,2023-01-18,616
630.38,2023-01-24,5
8782.3,2023-01-20,72
48893.67,2022-12-19,426
69856.08,2022-12-24,580
46771.46,2022-12-25,383
45986.70,2022-12-18,403
47886.46,2022-12-26,383
67503.04,2022-12-21,584
100518.77,2022-12-27,857
57794.93,2022-12-20,493
65657.46,2022-12-22,555
211606.80,2022-12-30,1901
8783.57,2022-11-28,75
25942.67,2022-11-29,213
125461.89,2022-12-28,1105
22135.70,2023-02-05,189
16791.44,2022-12-02,138
22530.57,2022-12-03,184
27182.79,2022-11-30,216
26044.13,2022-12-01,216
15317.89,2022-12-05,132
21191.35,2022-12-06,178
20243.62,2022-12-08,178
14819.96,2022-12-04,123
81301.2,2022-12-09,711
13444.07,2022-12-12,112
30638.11,2022-12-11,260
85883.73,2022-12-14,755
36289.85,2022-12-07,318
35321.91,2022-12-16,295
26839.15,2022-11-15,241
59996.49,2022-12-10,519
54249.98,2022-12-17,481
23981.75,2022-11-09,206
22464.10,2022-11-08,185
30674.19,2022-12-13,251
59547.01,2022-12-23,480
56975.80,2022-12-15,491
27669.75,2022-11-12,241
16045.48,2022-11-13,140
17565.31,2022-11-14,156
157476.20,2022-12-29,1380
18801.86,2022-11-10,166
29999.12,2022-11-19,251
35502.93,2022-10-19,320
25682.92,2022-11-17,205
38006.42,2022-11-16,315
23091.54,2022-10-24,199
34661.48,2022-10-21,309
32634.69,2022-10-20,283
24022.42,2022-11-11,202
29572.51,2022-11-18,253
36168.32,2022-10-27,323
33285.95,2022-10-29,284
22529.05,2022-10-30,187
29602.33,2022-11-01,259
40612.73,2022-10-22,345
33310.81,2022-10-25,296
30904.56,2022-10-28,266
36456.47,2022-09-29,308
45754.38,2022-09-30,384
32721.03,2022-10-01,270
4650.60,2022-10-04,40
5240.35,2022-10-06,45
5653.66,2022-10-07,46
4072.39,2022-10-05,34
8879.13,2022-10-02,74
35761.46,2022-10-26,315
23321.44,2022-10-08,207
38707.70,2022-10-09,332
4286.02,2022-10-03,37
43325.17,2022-10-12,375
28453.21,2022-10-31,242
31156.09,2022-09-10,268
17093.16,2022-09-13,152
26555.53,2022-10-23,218
8039.30,2022-09-12,66
23639.93,2022-09-14,207
39511.77,2022-10-11,340
25643.65,2022-09-09,222
32957.99,2022-09-15,292
33160.98,2022-09-16,296
41523.53,2022-10-10,363
36092.40,2022-09-21,323
30908.36,2022-09-20,300
45442.72,2022-09-22,381
62549.54,2022-09-23,518
33227.05,2022-09-17,294
22929.88,2022-09-19,207
29083.77,2022-08-21,274
43835.05,2022-08-23,360
21425.87,2022-09-18,190
39704.25,2022-08-24,352
39261.28,2022-08-25,353
55905.30,2022-08-27,505
40238.32,2022-08-30,344
46836.49,2022-08-20,445
44747.24,2022-09-01,414
21352.35,2022-08-22,182
31784.24,2022-08-28,279
10980.66,2022-09-04,91
13844.12,2022-09-05,118
43491.86,2022-08-31,365
21303.37,2022-09-07,185
9124.45,2022-09-11,75
18820.24,2022-09-06,166
47255.06,2022-08-26,417
23541.23,2022-09-03,204
29441.25,2022-08-01,258
49209.79,2022-08-05,428
33128.19,2022-07-31,280
33100.54,2022-08-03,299
21909.40,2022-08-07,205
14207.59,2022-08-08,120
22280.62,2022-08-29,194
35507.94,2022-08-10,325
38946.96,2022-08-04,343
31487.59,2022-08-12,288
40543.97,2022-08-13,369
18193.12,2022-08-15,155
37839.91,2022-08-06,338
21339.55,2022-08-14,195
34582.42,2022-08-09,306
37733.52,2022-08-02,339
90245.74,2022-07-13,764
41769.42,2022-08-11,379
34655.07,2022-08-16,305
28665.15,2022-07-11,243
29657.68,2022-08-17,256
36409.83,2022-07-14,330
48986.81,2022-07-20,434
23582.27,2022-09-02,209
47715.24,2022-07-15,435
26926.43,2022-07-18,248
45205.38,2022-07-19,412
43357.24,2022-06-22,378
55570.05,2022-07-16,511
52166.74,2022-06-23,457
40879.19,2022-07-21,373
41209.12,2022-07-12,358
54635.39,2022-06-24,467
39516.79,2022-06-21,333
60927.17,2022-06-28,516
39004.49,2022-06-27,330
42342.71,2022-06-26,363
74906.24,2022-06-29,648
35214.23,2022-06-01,305
37218.93,2022-06-03,324
65936.82,2022-06-25,566
138376.98,2022-06-30,1178
18255.11,2022-06-06,162
33475.77,2022-06-02,293
11291.65,2022-06-05,95
34992.77,2022-06-08,310
37705.12,2022-06-11,327
40282.30,2022-06-09,352
34473.56,2022-06-10,301
27029.42,2022-07-17,240
19506.38,2022-06-13,178
48795.19,2022-07-22,428
23935.08,2022-06-12,210
35671.29,2022-06-14,315
32510.45,2022-06-07,277
31127.13,2022-06-19,269
42973.76,2022-06-17,381
42758.62,2022-06-18,373
40879.31,2022-05-13,340
23735.68,2022-06-20,205
20875.12,2022-06-04,184
18023.77,2022-05-15,153
28431.77,2022-05-19,253
32462.94,2022-05-12,266
37935.93,2022-06-15,330
38460.95,2022-05-18,328
32863.6,2022-05-20,279
26939.55,2022-05-23,243
25581.96,2022-05-22,222
16611.39,2022-05-16,144
35409.9,2022-05-24,309
30513.02,2022-05-17,257
41094.07,2022-05-27,357
28023.28,2022-04-22,239
37768.92,2022-05-25,331
22862.79,2022-04-24,189
29215.11,2022-05-21,254
23658.76,2022-04-26,206
23605.95,2022-04-25,203
29691.10,2022-04-23,239
34009.12,2022-04-28,309
40614.47,2022-05-14,343
11469.86,2022-05-02,99
52521.53,2022-05-26,464
28774.96,2022-04-27,238
15343.42,2022-05-01,128
30688.54,2022-04-30,259
13481.39,2022-05-03,120
34417.3,2022-04-29,290
13447.18,2022-04-04,117
5230.22,2022-04-05,47
50692.2,2022-04-02,483
22977.66,2022-04-06,219
47312.76,2022-04-07,450
28557.17,2022-04-09,261
16143.17,2022-04-10,140
29929.24,2022-04-12,265
12451.67,2022-05-04,104
22410.38,2022-04-13,200
64254.99,2022-04-16,654
37398.21,2022-04-08,342
19063.48,2022-04-17,173
28172.63,2022-04-03,259
31776.08,2022-03-15,288
